cohort_month,cohort_customers,m0,m1,m3,m6,m12,retention_m1_pct,retention_m6_pct,retention_m12_pct
2018-11-01,76,28,54,55,51,51,71.1,67.1,67.1
2018-12-01,91,43,60,60,58,61,65.9,63.7,67.0
2019-01-01,95,39,69,76,71,67,72.6,74.7,70.5
2019-02-01,80,37,56,62,49,50,70.0,61.3,62.5
2019-03-01,95,44,63,60,70,70,66.3,73.7,73.7
2019-04-01,95,54,67,64,64,59,70.5,67.4,62.1
2019-05-01,69,31,49,48,41,48,71.0,59.4,69.6
2019-06-01,79,34,57,52,53,52,72.2,67.1,65.8
2019-07-01,69,27,45,49,43,50,65.2,62.3,72.5
2019-08-01,84,33,63,63,64,55,75.0,76.2,65.5
2019-09-01,80,28,62,58,52,46,77.5,65.0,57.5
2019-10-01,70,38,41,56,45,47,58.6,64.3,67.1
2019-11-01,70,36,54,38,40,47,77.1,57.1,67.1
2019-12-01,99,47,71,67,71,72,71.7,71.7,72.7
2020-01-01,82,30,57,54,47,45,69.5,57.3,54.9
2020-02-01,86,36,64,60,65,53,74.4,75.6,61.6
2020-03-01,88,46,59,63,62,59,67.0,70.5,67.0
2020-04-01,64,30,40,44,43,43,62.5,67.2,67.2
2020-05-01,90,40,58,66,58,61,64.4,64.4,67.8
2020-06-01,86,39,65,52,64,62,75.6,74.4,72.1
2020-07-01,100,40,66,69,59,65,66.0,59.0,65.0
2020-08-01,97,49,65,63,61,69,67.0,62.9,71.1
2020-09-01,74,40,56,43,49,52,75.7,66.2,70.3
2020-10-01,95,43,60,73,71,66,63.2,74.7,69.5
2020-11-01,75,30,48,46,53,51,64.0,70.7,68.0
2020-12-01,72,21,51,50,43,43,70.8,59.7,59.7
2021-01-01,88,47,44,60,62,55,50.0,70.5,62.5
2021-02-01,79,25,60,51,52,47,75.9,65.8,59.5
2021-03-01,92,43,64,64,65,65,69.6,70.7,70.7
2021-04-01,78,41,49,55,52,47,62.8,66.7,60.3
2021-05-01,83,31,58,57,53,61,69.9,63.9,73.5
2021-06-01,80,32,59,49,51,48,73.8,63.8,60.0
2021-07-01,82,43,53,55,48,58,64.6,58.5,70.7
2021-08-01,91,39,60,71,58,61,65.9,63.7,67.0
2021-09-01,84,39,57,53,61,51,67.9,72.6,60.7
2021-10-01,60,29,41,41,46,37,68.3,76.7,61.7
2021-11-01,80,33,50,51,56,52,62.5,70.0,65.0
2021-12-01,90,46,61,57,59,66,67.8,65.6,73.3
2022-01-01,74,33,50,55,52,48,67.6,70.3,64.9
2022-02-01,64,21,47,43,42,38,73.4,65.6,59.4
2022-03-01,100,48,69,68,71,69,69.0,71.0,69.0
2022-04-01,97,42,68,61,61,60,70.1,62.9,61.9
2022-05-01,72,29,44,45,47,46,61.1,65.3,63.9
2022-06-01,93,38,67,58,55,64,72.0,59.1,68.8
2022-07-01,93,38,60,70,66,60,64.5,71.0,64.5
2022-08-01,101,49,70,66,63,68,69.3,62.4,67.3
2022-09-01,99,43,69,80,70,66,69.7,70.7,66.7
2022-10-01,96,40,60,49,55,60,62.5,57.3,62.5
2022-11-01,78,35,55,49,56,54,70.5,71.8,69.2
2022-12-01,83,33,51,62,58,57,61.4,69.9,68.7
2023-01-01,73,25,52,50,51,51,71.2,69.9,69.9
2023-02-01,66,23,46,42,44,42,69.7,66.7,63.6
2023-03-01,76,42,52,53,58,55,68.4,76.3,72.4
2023-04-01,85,28,62,53,63,56,72.9,74.1,65.9
2023-05-01,76,41,52,55,54,54,68.4,71.1,71.1
2023-06-01,86,35,56,59,58,50,65.1,67.4,58.1
2023-07-01,82,35,59,57,52,52,72.0,63.4,63.4
2023-08-01,85,36,57,55,56,61,67.1,65.9,71.8
2023-09-01,91,35,63,57,62,50,69.2,68.1,54.9
2023-10-01,85,41,59,57,65,53,69.4,76.5,62.4
2023-11-01,87,35,61,54,58,48,70.1,66.7,55.2
2023-12-01,97,41,68,71,56,66,70.1,57.7,68.0
2024-01-01,85,37,52,61,56,57,61.2,65.9,67.1
2024-02-01,81,41,60,53,52,51,74.1,64.2,63.0
2024-03-01,79,42,50,60,53,58,63.3,67.1,73.4
2024-04-01,98,48,65,67,67,62,66.3,68.4,63.3
2024-05-01,83,35,54,52,57,54,65.1,68.7,65.1
2024-06-01,96,48,62,66,65,50,64.6,67.7,52.1
2024-07-01,90,39,61,62,64,55,67.8,71.1,61.1
2024-08-01,100,40,60,67,63,65,60.0,63.0,65.0
2024-09-01,81,33,56,62,57,49,69.1,70.4,60.5
2024-10-01,81,38,55,53,58,52,67.9,71.6,64.2
2024-11-01,72,36,49,44,49,40,68.1,68.1,55.6
2024-12-01,85,37,59,63,42,46,69.4,49.4,54.1
2025-01-01,87,37,66,66,60,52,75.9,69.0,59.8
2025-02-01,85,30,62,65,54,45,72.9,63.5,52.9
2025-03-01,88,42,56,51,64,53,63.6,72.7,60.2
2025-04-01,98,38,73,69,63,50,74.5,64.3,51.0
2025-05-01,81,43,52,61,56,42,64.2,69.1,51.9
2025-06-01,87,36,60,62,56,25,69.0,64.4,28.7
2025-07-01,38,18,22,24,21,0,57.9,55.3,0.0
2025-08-01,35,15,27,27,20,0,77.1,57.1,0.0
2025-09-01,26,10,14,16,17,0,53.8,65.4,0.0
2025-10-01,34,15,27,23,13,0,79.4,38.2,0.0
2025-11-01,43,19,30,23,27,0,69.8,62.8,0.0
2025-12-01,26,7,18,22,10,0,69.2,38.5,0.0
2026-01-01,25,9,15,14,0,0,60.0,0.0,0.0
2026-02-01,34,19,25,24,0,0,73.5,0.0,0.0
2026-03-01,27,12,18,6,0,0,66.7,0.0,0.0
2026-04-01,32,14,23,0,0,0,71.9,0.0,0.0
2026-05-01,49,20,18,0,0,0,36.7,0.0,0.0
2026-06-01,44,19,0,0,0,0,0.0,0.0,0.0
